chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-07-04,1,Choosin' Texas,Ella Langley,2,1,36
2026-07-04,2,"I Knew It, I Knew You",Taylor Swift,1,1,3
2026-07-04,3,Be Her,Ella Langley,5,2,19
2026-07-04,4,Stupid Song,Olivia Rodrigo,3,3,2
2026-07-04,5,Drop Dead,Olivia Rodrigo,4,1,10
2026-07-04,6,Janice STFU,Drake,7,1,6
2026-07-04,7,Hate That I Made You Love Me,Ariana Grande,8,1,4
2026-07-04,8,Man I Need,Olivia Dean,10,2,44
2026-07-04,9,I Can't Love You Anymore,Ella Langley & Morgan Wallen,14,7,9
2026-07-04,10,Dracula,Tame Impala & JENNIE,18,10,39
2026-07-04,11,So Easy (To Fall In Love),Olivia Dean,13,5,39
2026-07-04,12,I Just Might,Bruno Mars,11,1,24
2026-07-04,13,The Cure,Olivia Rodrigo,6,5,5
2026-07-04,14,Boston,Stella Lefty,22,14,12
2026-07-04,15,Risk It All,Bruno Mars,23,4,17
2026-07-04,16,Homewrecker,sombr,28,16,20
2026-07-04,17,Stateside,PinkPantheress With Zara Larsson,24,6,25
2026-07-04,18,Honeybee,Olivia Rodrigo,9,9,2
2026-07-04,19,Midnight Sun,Zara Larsson,29,19,23
2026-07-04,20,Shabang,Drake,26,4,6
2026-07-04,21,Be By You,Luke Combs,31,12,19
2026-07-04,22,Don't We,Morgan Wallen,32,22,20
2026-07-04,23,Earrings,Malcolm Todd,30,22,17
2026-07-04,24,Maggots For Brains,Olivia Rodrigo,12,12,2
2026-07-04,25,Spend Dat,Yung Miami,35,25,5
2026-07-04,26,Cinderella,Mac Miller Featuring Ty Dolla $ign,33,26,7
2026-07-04,27,Expectations,Olivia Rodrigo,20,20,2
2026-07-04,28,My Way,Olivia Rodrigo,15,15,2
2026-07-04,29,Babydoll,Dominic Fike,34,16,20
2026-07-04,30,What's Wrong With Me,Olivia Rodrigo & Robert Smith,17,17,2
2026-07-04,31,Begged,Olivia Rodrigo,16,16,2
2026-07-04,32,Sleepless In A Hotel Room,Luke Combs,39,11,24
2026-07-04,33,u + me = <3,Olivia Rodrigo,19,19,2
2026-07-04,34,Less,Olivia Rodrigo,21,21,2
2026-07-04,35,Loving Life Again,Ella Langley,42,21,14
2026-07-04,36,Chicago,Michael Jackson,37,26,5
2026-07-04,37,E85,Don Toliver,40,15,21
2026-07-04,38,American Girls,Harry Styles,46,4,16
2026-07-04,39,Ran To Atlanta,Drake Featuring Future & Molly Santana,36,2,6
2026-07-04,40,Die On This Hill,Sienna Spiro,52,19,27
2026-07-04,41,Freakin' Out,Dexter And The Moonrocks,48,33,14
2026-07-04,42,Pop Dat Thang,DaBaby,43,26,21
2026-07-04,43,Iconic By Mistake,"Le Sserafim, ILLIT & KATSEYE",38,38,2
2026-07-04,44,The Great Divide,Noah Kahan,50,6,21
2026-07-04,45,Human Nature,Michael Jackson,47,7,22
2026-07-04,46,Change My Mind,Riley Green,49,24,21
2026-07-04,47,Don't Tell On Me,Jason Aldean,53,47,11
2026-07-04,48,Whisper My Name,Drake,41,3,6
2026-07-04,49,Hit The Wall,Gracie Abrams,54,42,6
2026-07-04,50,Cigarette Smoke,Olivia Rodrigo,27,27,2
2026-07-04,51,2 Hard 4 The Radio,Drake,45,9,6
2026-07-04,52,Hate How You Look,Josh Ross,57,52,12
2026-07-04,53,Motion Party,BossMan Dlow,51,37,15
2026-07-04,54,Purple,Olivia Rodrigo,25,25,2
2026-07-04,55,National Treasures,Drake,44,6,6
2026-07-04,56,Fever Dream,Alex Warren,56,21,17
2026-07-04,57,Orbiter,Noah Kahan,59,56,9
2026-07-04,58,Iloveitiloveitiloveit,Bella Kay,58,17,19
2026-07-04,59,Mexico Honey,Kacey Musgraves,61,59,4
2026-07-04,60,Self Aware,Temper City,64,60,11
2026-07-04,61,What You Need,Tems,62,53,14
2026-07-04,62,Beautiful Things,Megan Moroney,66,32,30
2026-07-04,63,Swim,BTS,55,1,14
2026-07-04,64,Doors,Noah Kahan,60,9,9
2026-07-04,65,Raindance,Dave & Tems,71,49,21
2026-07-04,66,Rubberz,Fenix Flexin,63,63,3
2026-07-04,67,Something To Lose,Stella Lefty Featuring Vincent Mason,72,67,4
2026-07-04,68,House Tour,Sabrina Carpenter,89,27,8
2026-07-04,69,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",73,31,21
2026-07-04,70,Noble,F3miii,74,67,7
2026-07-04,71,Willing And Able,Noah Kahan,76,26,9
2026-07-04,72,Bottom Of Your Boots,Ella Langley,77,20,11
2026-07-04,73,Woman,Kane Brown,82,73,11
2026-07-04,74,Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,75,74,2
2026-07-04,75,My Way,Riley Green,81,70,7
2026-07-04,76,Plot Twist,Drake,65,11,6
2026-07-04,77,Damned If I Do,Vincent Mason,88,77,7
2026-07-04,78,B's On The Table,Drake Featuring 21 Savage,70,12,6
2026-07-04,79,White Keys,Dominic Fike,79,32,18
2026-07-04,80,Rethink Some Things,Luke Combs,84,46,13
2026-07-04,81,Rein Me In,Sam Fender & Olivia Dean,87,64,14
2026-07-04,82,"Phone, Keys, Wallet",Lainey Wilson & John Mayer,91,80,3
2026-07-04,83,What Did I Miss?,Drake,78,2,18
2026-07-04,84,Mr. Know It All,Teddy Swims,96,76,10
2026-07-04,85,Rocky Mountain Low,Corey Kent & Koe Wetzel,99,84,9
2026-07-04,86,Sunburn,Tucker Wetmore,95,86,4
2026-07-04,87,Burning Bridges,Drake,86,13,6
2026-07-04,88,I'm Spent,Drake Featuring Loe Shimmy,85,34,6
2026-07-04,89,Chevy Silverado,Bailey Zimmerman,-,89,1
2026-07-04,90,Dust,Drake,80,8,6
2026-07-04,91,Make Them Pay,Drake,83,10,6
2026-07-04,92,Speed Demon,Justin Bieber,-,66,3
2026-07-04,93,Empty Words,Corey Kent,100,93,4
2026-07-04,94,Turn This Truck Around,Jordan Davis,92,57,17
2026-07-04,95,In My Room,Julia Wolf,-,57,11
2026-07-04,96,Kingdom Of Fear,Cameron Whitcomb,-,96,2
2026-07-04,97,Pinky Up,KATSEYE,94,28,10
2026-07-04,98,Ever Since U Left Me (I Went Deaf),French Montana & Max B,90,82,11
2026-07-04,99,Porch Light,Noah Kahan,97,20,15
2026-07-04,100,Carry On,Kenny Chesney,-,100,1
